"inputRegion","cpg","UCSC_RefGene_Group","UCSC_RefGene_Accession","UCSC_RefGene_Name","Relation_to_Island","estimate","se","pVal.fixed","pVal.random","pValQ","direction","pVal.final","fdr","crossHyb_bi","smoke_bi","GASPARONI_nCoMethRegion","GASPARONI_coMethRegion","GASPARONI_nCpGs","Gasparoni_estimate","Gasparoni_se","Gasparoni_pVal","Gasparoni_fdr","GASPARONI_crossHyb","GASPARONI_crossHyb_bi","GASPARONI_smoke","GASPARONI_smoke_bi","MtSinai_nCoMethRegion","MtSinai_coMethRegion","MtSinai_nCpGs","MtSinai_estimate","MtSinai_se","MtSinai_pVal","MtSinai_fdr","MtSinai_crossHyb","MtSinai_crossHyb_bi","MtSinai_smoke","MtSinai_smoke_bi","London_nCoMethRegion","London_coMethRegion","London_nCpGs","London_estimate","London_se","London_pVal","London_fdr","London_crossHyb","London_crossHyb_bi","London_smoke","London_smoke_bi","ROSMAP_nCoMethRegion","ROSMAP_coMethRegion","ROSMAP_nCpGs","ROSMAP_estimate","ROSMAP_se","ROSMAP_pVal","ROSMAP_fdr","ROSMAP_crossHyb","ROSMAP_crossHyb_bi","ROSMAP_smoke","ROSMAP_smoke_bi","combp_chrom","combp_start","combp_end","combp_min_p","combp_n_probes","combp_z_p","combp_z_sidak_p"
"chr1:103574469-103574619","cg26256793","TSS1500","NM_001168249;NM_001854;NM_080629;NM_080630","COL11A1","OpenSea",0.0173430340190595,0.00422270370580773,4.0067108957667e-05,0.000110497101073726,0.339438210448786,"++++",4.0067108957667e-05,0.00709555205292875,FALSE,FALSE,0,"chr1:103574469-103574619",4,0.0336413797804148,0.0130807217704287,0.0134123425172022,0.995935355525236,NA,0,NA,0,0,"chr1:103574469-103574619",4,0.0287498807073802,0.0113844605473317,0.0128188012497593,0.433275947280145,NA,0,NA,0,0,"chr1:103574469-103574619",4,0.0122107552556238,0.00862529625441314,0.160279460038515,0.790139834592495,NA,0,NA,0,0,"chr1:103574469-103574619",4,0.0134131847244964,0.00586414853465728,0.0224941750996097,0.806866984614392,NA,0,NA,0,"chr1",103574469,103574533,9.513e-05,3,2.436e-07,0.001714
"chr1:103574469-103574619","cg16968885","TSS1500","NM_001168249;NM_001854;NM_080629;NM_080630","COL11A1","OpenSea",0.0173430340190595,0.00422270370580773,4.0067108957667e-05,0.000110497101073726,0.339438210448786,"++++",4.0067108957667e-05,0.00709555205292875,FALSE,FALSE,0,"chr1:103574469-103574619",4,0.0336413797804148,0.0130807217704287,0.0134123425172022,0.995935355525236,NA,0,NA,0,0,"chr1:103574469-103574619",4,0.0287498807073802,0.0113844605473317,0.0128188012497593,0.433275947280145,NA,0,NA,0,0,"chr1:103574469-103574619",4,0.0122107552556238,0.00862529625441314,0.160279460038515,0.790139834592495,NA,0,NA,0,0,"chr1:103574469-103574619",4,0.0134131847244964,0.00586414853465728,0.0224941750996097,0.806866984614392,NA,0,NA,0,"chr1",103574469,103574533,9.513e-05,3,2.436e-07,0.001714
"chr1:103574469-103574619","cg03520644","TSS1500","NM_001168249;NM_001854;NM_080629;NM_080630","COL11A1","OpenSea",0.0173430340190595,0.00422270370580773,4.0067108957667e-05,0.000110497101073726,0.339438210448786,"++++",4.0067108957667e-05,0.00709555205292875,FALSE,FALSE,0,"chr1:103574469-103574619",4,0.0336413797804148,0.0130807217704287,0.0134123425172022,0.995935355525236,NA,0,NA,0,0,"chr1:103574469-103574619",4,0.0287498807073802,0.0113844605473317,0.0128188012497593,0.433275947280145,NA,0,NA,0,0,"chr1:103574469-103574619",4,0.0122107552556238,0.00862529625441314,0.160279460038515,0.790139834592495,NA,0,NA,0,0,"chr1:103574469-103574619",4,0.0134131847244964,0.00586414853465728,0.0224941750996097,0.806866984614392,NA,0,NA,0,"chr1",103574469,103574533,9.513e-05,3,2.436e-07,0.001714
"chr1:103574469-103574619","cg00172849","TSS1500","NM_001168249;NM_001854;NM_080629;NM_080630","COL11A1","OpenSea",0.0173430340190595,0.00422270370580773,4.0067108957667e-05,0.000110497101073726,0.339438210448786,"++++",4.0067108957667e-05,0.00709555205292875,FALSE,FALSE,0,"chr1:103574469-103574619",4,0.0336413797804148,0.0130807217704287,0.0134123425172022,0.995935355525236,NA,0,NA,0,0,"chr1:103574469-103574619",4,0.0287498807073802,0.0113844605473317,0.0128188012497593,0.433275947280145,NA,0,NA,0,0,"chr1:103574469-103574619",4,0.0122107552556238,0.00862529625441314,0.160279460038515,0.790139834592495,NA,0,NA,0,0,"chr1:103574469-103574619",4,0.0134131847244964,0.00586414853465728,0.0224941750996097,0.806866984614392,NA,0,NA,0,"chr1",103574469,103574533,9.513e-05,3,2.436e-07,0.001714
"chr1:167090618-167090757","cg04138112","Body","NM_001080426","DUSP27","Island",-0.0543137802557988,0.0115886961998259,2.77524080598263e-06,2.77524080598263e-06,0.722663206096293,"----",2.77524080598263e-06,0.000909369069343949,FALSE,FALSE,1,"chr1:167090618-167090757",3,-0.0412012296815052,0.0457894156477085,0.372914182704265,0.996466091838487,NA,0,NA,0,1,"chr1:167090618-167090757",3,-0.0770249993267821,0.0256850518749433,0.00327586141771297,0.288640616598441,NA,0,NA,0,1,"chr1:167090618-167090757",3,-0.0424879938449479,0.017969173439758,0.0201803041021952,0.521545762016576,NA,0,NA,0,1,"chr1:167090618-167090757",3,-0.0579011588696897,0.0206004860858579,0.00509113595548017,0.574373131374855,NA,0,NA,0,"chr1",167090618,167090758,4.723e-05,3,1.662e-10,5.351e-07
"chr1:167090618-167090757","cg17104258","Body","NM_001080426","DUSP27","Island",-0.0543137802557988,0.0115886961998259,2.77524080598263e-06,2.77524080598263e-06,0.722663206096293,"----",2.77524080598263e-06,0.000909369069343949,FALSE,FALSE,1,"chr1:167090618-167090757",3,-0.0412012296815052,0.0457894156477085,0.372914182704265,0.996466091838487,NA,0,NA,0,1,"chr1:167090618-167090757",3,-0.0770249993267821,0.0256850518749433,0.00327586141771297,0.288640616598441,NA,0,NA,0,1,"chr1:167090618-167090757",3,-0.0424879938449479,0.017969173439758,0.0201803041021952,0.521545762016576,NA,0,NA,0,1,"chr1:167090618-167090757",3,-0.0579011588696897,0.0206004860858579,0.00509113595548017,0.574373131374855,NA,0,NA,0,"chr1",167090618,167090758,4.723e-05,3,1.662e-10,5.351e-07
"chr1:167090618-167090757","cg11236550","Body","NM_001080426","DUSP27","Island",-0.0543137802557988,0.0115886961998259,2.77524080598263e-06,2.77524080598263e-06,0.722663206096293,"----",2.77524080598263e-06,0.000909369069343949,FALSE,FALSE,1,"chr1:167090618-167090757",3,-0.0412012296815052,0.0457894156477085,0.372914182704265,0.996466091838487,NA,0,NA,0,1,"chr1:167090618-167090757",3,-0.0770249993267821,0.0256850518749433,0.00327586141771297,0.288640616598441,NA,0,NA,0,1,"chr1:167090618-167090757",3,-0.0424879938449479,0.017969173439758,0.0201803041021952,0.521545762016576,NA,0,NA,0,1,"chr1:167090618-167090757",3,-0.0579011588696897,0.0206004860858579,0.00509113595548017,0.574373131374855,NA,0,NA,0,"chr1",167090618,167090758,4.723e-05,3,1.662e-10,5.351e-07
"chr1:2004968-2005564","cg03959306","1stExon;5'UTR;Body;TSS200","NM_001033581;NM_002744","PRKCZ","Island;N_Shore",0.0186055626017236,0.00477319603063433,9.70202457079132e-05,9.70202457079132e-05,0.565366846475334,"++++",9.70202457079132e-05,0.0138517190800698,FALSE,FALSE,1,"chr1:2004968-2005564",8,0.0159345623883823,0.0138663807825885,0.256433964658784,0.996466091838487,NA,0,NA,0,1,"chr1:2004968-2005564",8,0.0315972065204634,0.011525731022343,0.00702183902163391,0.364763960671115,NA,0,NA,0,1,"chr1:2004968-2005564",8,0.0199297331162868,0.00802024210715351,0.0147856087299752,0.481742881198429,NA,0,NA,0,1,"chr1:2004968-2005564",8,0.0119145867441866,0.00800209481420449,0.136984730706341,0.967508812940633,NA,0,NA,0,"chr1",2005132,2005321,6.459e-12,4,5.331e-19,1.271e-15
"chr1:2004968-2005564","cg04520340","1stExon;5'UTR;Body;TSS200","NM_001033581;NM_002744","PRKCZ","Island;N_Shore",0.0186055626017236,0.00477319603063433,9.70202457079132e-05,9.70202457079132e-05,0.565366846475334,"++++",9.70202457079132e-05,0.0138517190800698,FALSE,FALSE,1,"chr1:2004968-2005564",8,0.0159345623883823,0.0138663807825885,0.256433964658784,0.996466091838487,NA,0,NA,0,1,"chr1:2004968-2005564",8,0.0315972065204634,0.011525731022343,0.00702183902163391,0.364763960671115,NA,0,NA,0,1,"chr1:2004968-2005564",8,0.0199297331162868,0.00802024210715351,0.0147856087299752,0.481742881198429,NA,0,NA,0,1,"chr1:2004968-2005564",8,0.0119145867441866,0.00800209481420449,0.136984730706341,0.967508812940633,NA,0,NA,0,"chr1",2005132,2005321,6.459e-12,4,5.331e-19,1.271e-15
"chr1:2004968-2005564","cg14418633","1stExon;5'UTR;Body;TSS200","NM_001033581;NM_002744","PRKCZ","Island;N_Shore",0.0186055626017236,0.00477319603063433,9.70202457079132e-05,9.70202457079132e-05,0.565366846475334,"++++",9.70202457079132e-05,0.0138517190800698,FALSE,FALSE,1,"chr1:2004968-2005564",8,0.0159345623883823,0.0138663807825885,0.256433964658784,0.996466091838487,NA,0,NA,0,1,"chr1:2004968-2005564",8,0.0315972065204634,0.011525731022343,0.00702183902163391,0.364763960671115,NA,0,NA,0,1,"chr1:2004968-2005564",8,0.0199297331162868,0.00802024210715351,0.0147856087299752,0.481742881198429,NA,0,NA,0,1,"chr1:2004968-2005564",8,0.0119145867441866,0.00800209481420449,0.136984730706341,0.967508812940633,NA,0,NA,0,"chr1",2005132,2005321,6.459e-12,4,5.331e-19,1.271e-15
